CartridgeId,RunDate,LotNumber,KitId,ChannelNumber,Sample,AnalyteName,InletNumber,DilutionFactor,CalculatedConcentration,CalculatedConcentrationInRange,CalculatedConcentrationPercentCV,CalculatedConcentrationStdDev,RFU,Gnr1RFU,Gnr2RFU,Gnr3RFU,RFUPercentCV,RFUStdDev,KitGuid,InstrumentName,Gnr1CalculatedConcentration,Gnr2CalculatedConcentration,Gnr3CalculatedConcentration,KnownConcentration,PercentRecovery,Signal,CurveCoefficientA,CurveCoefficientB,CurveCoefficientC,CurveCoefficientD,CurveCoefficientG,SampleType,Background,BufferId,CartridgeComments,DiluentId,Gnr1Background,Gnr1Signal,Gnr2Background,Gnr2Signal,Gnr3Background,Gnr3Signal,GnrCount,GnrFilter,GnrFilterCVPercentThreshold,InletComment,IsSampleStdDev,RunUserName,SpecimenTypes
34146,7/12/2017 17:56,2411,35290,1,85072,CXCL10,4,2,147.517,IR,4.794,7.072,66.518,71.328,64.534,63.692,5.139,3.418,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,157.468,143.413,141.669,,,66.971,0.101,1.127,913.749,1686.549,0.704,Unknown,0.453,689,,726,0.453,71.781,0.453,64.987,0.453,64.145,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,2,85072,IFNg,4,2,7.96,IR,4.865,0.387,1.69,1.728,1.751,1.592,4.161,0.07,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,8.169,8.294,7.417,,,2.141,0.266,1.016,4577.497,2565.177,0.714,Unknown,0.45,689,,726,0.45,2.179,0.45,2.201,0.45,2.042,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,3,85072,IL-6,4,2,8.118,IR,6.105,0.496,1.139,1.22,1.136,1.061,5.677,0.065,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,8.736,8.093,7.523,,,1.594,0.061,0.984,3449.682,1126.02,0.73,Unknown,0.455,689,,726,0.455,1.674,0.455,1.591,0.455,1.516,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,4,85072,IL-8,4,2,63.578,IR,1.569,0.998,30.926,30.864,30.36,31.555,1.583,0.49,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,63.451,62.425,64.859,,,31.395,0.091,1.022,2954.145,2878.453,1.112,Unknown,0.468,689,,726,0.468,31.332,0.468,30.829,0.468,32.023,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,1,85623,CXCL10,5,2,98.833,IR,2.304,2.277,43.14,44.599,42.812,42.008,2.511,1.083,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,101.901,98.145,96.452,,,43.605,0.101,1.127,913.749,1686.549,0.704,Unknown,0.465,689,,726,0.465,45.065,0.465,43.277,0.465,42.473,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,2,85623,IFNg,5,2,16.352,IR,3.564,0.583,3.223,3.372,3.125,3.173,3.318,0.107,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,17.163,15.816,16.078,,,3.679,0.266,1.016,4577.497,2565.177,0.714,Unknown,0.456,689,,726,0.456,3.828,0.456,3.581,0.456,3.629,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,3,85623,IL-6,5,2,12.232,IR,10.293,1.259,1.673,1.547,1.57,1.903,9.733,0.163,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,11.253,11.433,14.009,,,2.128,0.061,0.984,3449.682,1126.02,0.73,Unknown,0.454,689,,726,0.454,2.001,0.454,2.024,0.454,2.357,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,4,85623,IL-8,5,2,64.929,IR,0.954,0.62,31.589,31.922,31.187,31.659,0.963,0.304,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,65.608,64.11,65.07,,,32.058,0.091,1.022,2954.145,2878.453,1.112,Unknown,0.468,689,,726,0.468,32.391,0.468,31.656,0.468,32.127,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,1,91090,CXCL10,6,2,391.552,IR,5.125,20.066,182.328,194.299,172.064,180.622,5.023,9.157,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,417.812,369.107,387.736,,,182.801,0.101,1.127,913.749,1686.549,0.704,Unknown,0.473,689,,726,0.473,194.772,0.473,172.537,0.473,181.094,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,2,91090,IFNg,6,2,6.146,IR,0.398,0.024,1.361,,1.366,1.357,0.325,0.004,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,,6.17,6.121,,,1.826,0.266,1.016,4577.497,2565.177,0.714,Unknown,0.465,689,,726,,,0.465,1.83,0.465,1.822,2,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,3,91090,IL-6,6,2,857.721,IR,1.946,16.694,95.212,96.52,96.223,92.894,1.726,1.644,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,871.004,867.983,834.177,,,95.684,0.061,0.984,3449.682,1126.02,0.73,Unknown,0.471,689,,726,0.471,96.991,0.471,96.695,0.471,93.366,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,4,91090,IL-8,6,2,5922.516,OOR>,6.074,359.705,1547.507,1589.383,1481.939,1571.2,3.034,46.954,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,6247.583,5421.117,6098.849,,,1548.012,0.091,1.022,2954.145,2878.453,1.112,Unknown,0.504,689,,726,0.504,1589.887,0.504,1482.444,0.504,1571.705,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,1,85075,CXCL10,7,2,430.814,IR,1.84,7.928,200.152,203.177,195.144,202.136,1.782,3.567,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,437.541,419.683,435.219,,,200.631,0.101,1.127,913.749,1686.549,0.704,Unknown,0.479,689,,726,0.479,203.655,0.479,195.623,0.479,202.614,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,2,85075,IFNg,7,2,42.484,IR,1.592,0.676,8.048,8.173,7.923,,1.558,0.125,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,43.16,41.807,,,,8.512,0.266,1.016,4577.497,2565.177,0.714,Unknown,0.464,689,,726,0.464,8.638,0.464,8.387,,,2,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,3,85075,IL-6,7,2,5.505,IR,8.027,0.442,0.797,0.751,0.879,0.761,7.281,0.058,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,5.152,6.128,5.234,,,1.263,0.061,0.984,3449.682,1126.02,0.73,Unknown,0.466,689,,726,0.466,1.216,0.466,1.344,0.466,1.227,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
