AnalyteName,Background,BufferId,CartridgeId,CartridgeComments,CalculatedConcentration,CalculatedConcentrationInRange,CalculatedConcentrationPercentCV,CalculatedConcentrationStdDev,ChannelNumber,CurveCoefficientA,CurveCoefficientB,CurveCoefficientC,CurveCoefficientD,CurveCoefficientG,DiluentId,DilutionFactor,GnrFilter,GnrFilterCVPercentThreshold,IsSampleStdDev,Gnr1CalculatedConcentration,Gnr1RFU,Gnr1Background,Gnr1Signal,Gnr2CalculatedConcentration,Gnr2RFU,Gnr2Background,Gnr2Signal,Gnr3CalculatedConcentration,Gnr3RFU,Gnr3Background,Gnr3Signal,GnrCount,InletComment,InletNumber,InstrumentName,KitId,KitGuid,KnownConcentration,LotNumber,PercentRecovery,RFU,RFUPercentCV,RFUStdDev,RunDate,RunUserName,SampleName,SampleType,Signal,SpecimenTypes
VEGF-A,0.799,689,32270,,79.804,IR,4.948,3.949,4,1.568,0.972,4665.583,848.638,0.92,691,1,GnrRfuCVThreshold,10,FALSE,85.019,17.141,0.799,17.94,78.925,16.074,0.799,16.873,75.468,15.467,0.799,16.266,3,,13,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,16.228,4.265,0.692,6/20/2017 11:40,Ella,13,None,17.026,PlasmaSerum
CCL2,0.755,689,32270,,0.54,OOR<,7.434,0.04,1,0.206,1.232,641.472,1368.234,0.875,691,1,GnrRfuCVThreshold,10,FALSE,0.584,0.421,0.755,1.176,0.548,0.404,0.755,1.16,0.487,0.378,0.755,1.133,3,,14,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,0.401,4.428,0.018,6/20/2017 11:40,Ella,14,None,1.156,PlasmaSerum
IL-6,0.758,689,32270,,0.328,IR,0.958,0.003,2,0.071,0.975,3926.232,923.313,1.052,691,1,GnrRfuCVThreshold,10,FALSE,0.331,0.175,0.758,0.933,,,,,0.325,0.173,0.758,0.931,2,,14,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,0.174,0.551,0.001,6/20/2017 11:40,Ella,14,None,0.932,PlasmaSerum
TNF-a,0.775,689,32270,,0.938,OOR<,15.611,0.146,3,0.232,0.992,4088.067,979.289,0.602,691,1,GnrRfuCVThreshold,10,FALSE,0.79,0.354,0.775,1.13,0.886,0.369,0.775,1.144,1.137,0.408,0.775,1.183,3,,14,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,0.377,5.937,0.022,6/20/2017 11:40,Ella,14,None,1.152,PlasmaSerum
VEGF-A,0.788,689,32270,,4.51,IR,6.565,0.296,4,1.568,0.972,4665.583,848.638,0.92,691,1,GnrRfuCVThreshold,10,FALSE,4.103,2.401,0.788,3.189,4.627,2.504,0.788,3.292,4.8,2.538,0.788,3.326,3,,14,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,2.481,2.348,0.058,6/20/2017 11:40,Ella,14,None,3.269,PlasmaSerum
CCL2,0.952,689,32270,,449.735,IR,3.098,13.935,1,0.206,1.232,641.472,1368.234,0.875,691,1,GnrRfuCVThreshold,10,FALSE,469.222,499.384,0.952,500.336,442.534,477.379,0.952,478.332,437.449,473.086,0.952,474.039,3,,15,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,483.283,2.383,11.519,6/20/2017 11:40,Ella,15,None,484.236,PlasmaSerum
IL-6,1.663,689,32270,,3796.264,OOR>,4.99,189.434,2,0.071,0.975,3926.232,923.313,1.052,691,1,GnrRfuCVThreshold,10,FALSE,3793.708,470.138,1.663,471.8,3565.545,455.962,1.663,457.625,4029.539,483.914,1.663,485.576,3,,15,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,470.005,2.428,11.412,6/20/2017 11:40,Ella,15,None,471.667,PlasmaSerum
TNF-a,0.852,689,32270,,1683.679,IR,2.681,45.135,3,0.232,0.992,4088.067,979.289,0.602,691,1,GnrRfuCVThreshold,10,FALSE,1746.581,189.831,0.852,190.683,1642.828,181.291,0.852,182.143,1661.63,182.857,0.852,183.709,3,,15,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,184.66,2.01,3.712,6/20/2017 11:40,Ella,15,None,185.512,PlasmaSerum
VEGF-A,1.044,689,32270,,4352.849,IR,5.07,220.689,4,1.568,0.972,4665.583,848.638,0.92,691,1,GnrRfuCVThreshold,10,FALSE,4653.483,400.307,1.044,401.351,4275.125,383.375,1.044,384.418,4129.939,376.505,1.044,377.549,3,,15,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,386.729,2.586,10.002,6/20/2017 11:40,Ella,15,None,387.772,PlasmaSerum
CCL2,0.776,689,32270,,9.24,IR,1.374,0.127,1,0.206,1.232,641.472,1368.234,0.875,691,1,GnrRfuCVThreshold,10,FALSE,9.209,6.585,0.776,7.36,9.409,6.755,0.776,7.531,9.103,6.495,0.776,7.27,3,,16,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,6.611,1.633,0.108,6/20/2017 11:40,Ella,16,None,7.387,PlasmaSerum
IL-6,0.784,689,32270,,82.577,IR,2.297,1.896,2,0.071,0.975,3926.232,923.313,1.052,691,1,GnrRfuCVThreshold,10,FALSE,84.526,22.513,0.784,23.297,80.007,21.368,0.784,22.152,83.198,22.177,0.784,22.961,3,,16,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,22.019,2.182,0.48,6/20/2017 11:40,Ella,16,None,22.803,PlasmaSerum
TNF-a,0.76,689,32270,,40.075,IR,1.179,0.473,3,0.232,0.992,4088.067,979.289,0.602,691,1,GnrRfuCVThreshold,10,FALSE,40.295,6.211,0.76,6.971,40.511,6.243,0.76,7.002,39.418,6.083,0.76,6.843,3,,16,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,6.179,1.117,0.069,6/20/2017 11:40,Ella,16,None,6.939,PlasmaSerum
VEGF-A,0.812,689,32270,,63.982,IR,2.044,1.307,4,1.568,0.972,4665.583,848.638,0.92,691,1,GnrRfuCVThreshold,10,FALSE,64.006,13.441,0.812,14.252,65.571,13.718,0.812,14.53,62.369,13.149,0.812,13.961,3,,16,Ella-15030042,29042,eb94a318-aa3d-471f-bd4a-6cc8174a4f73,,2269,,13.436,1.729,0.232,6/20/2017 11:40,Ella,16,None,14.248,PlasmaSerum
